line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office_source,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,customs_office,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty
18,National toutes directions partenaires manquants,1789,Amiens,Marseille,Marseille,Exports,Poisson ; harengs pecs,poissons harengs pecs,1500,20,barils,barils,75,1789,Amiens,Saint-Valery-sur-Somme,Normandie,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,Largeur en lignes (pour tissu) :,0,,,,,,,,Amiens,Picardie,Picardie,Saint-Valery-sur-Somme,Normandie,Normandie,Marseille,France,Marseille,France,France,Not Outre-mers,1,harengs pecs,0a,x,,1,Autres pêches,,1,not a medical product,1,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,barils,1,,,1,,,0,0,0,1,1,0,1500,0,0,0
20,National toutes directions partenaires manquants,1789,Amiens,Marseille,Marseille,Exports,Quincaillerie ; de fer ; clouds,quincaillerie de fer clous,30970,774.25,quintal,quintal,40,1789,Amiens,Saint-Valery-sur-Somme,Amiénois,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,Largeur en lignes (pour tissu) : unité d'origine : livre,0,,,,,,,,Amiens,Picardie,Picardie,Saint-Valery-sur-Somme,Amiénois,Picardie,Marseille,France,Marseille,France,France,Not Outre-mers,1,quincaillerie de fer clou,6j,x,Hardware,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,74,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Quincaillerie,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,livres,50,kg,.4895,0,18949.77,1.6343207,0,0,0,1,1,0,30970,0,0,0
21,National toutes directions partenaires manquants,1789,Amiens,Marseille,Marseille,Exports,Quincaillerie ; de fer ; socle,quincaillerie de fer socle,285,285,livre,livres,1,1789,Amiens,Saint-Valery-sur-Somme,Amiénois,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,Largeur en lignes (pour tissu) :,0,,,,,,,,Amiens,Picardie,Picardie,Saint-Valery-sur-Somme,Amiénois,Picardie,Marseille,France,Marseille,France,France,Not Outre-mers,1,socle de fer,6j,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,1,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages métalliques,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,livres,1,kg,.4895,0,139.50751,2.0429008,0,0,0,1,1,0,285,0,0,0
65,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bestiaux et bêtes de somme vaches,bestiaux et bêtes de somme vaches,9150,183,Nombre,nombre,50,1789,Bayonne,Saint-Esprit de Bayonne,Navarre,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,,0,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Navarre,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,1,vaches,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,388,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,nombre,1,nombre,1,0,183,50,0,0,0,1,1,0,9150,0,0,0
66,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bestiaux et bêtes de somme veaux,bestiaux et bêtes de somme veaux,12800,256,Nombre,nombre,50,1789,Bayonne,Saint-Esprit de Bayonne,Navarre,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,Erreur de calcul,50,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Navarre,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,2,veaux,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,195,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,Pas réexportation,nombre,1,nombre,1,0,256,50,0,0,0,1,1,1,12850,0,0,50
68,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bonnetterie de laine bas,bonneterie de laine bas,7614,423,Douzaines,douzaine,18,1789,Bayonne,Saint-Esprit de Bayonne,Navarre,1500,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,Pas de prix uniaitaire,,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Navarre,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,8,bas de laine,8,x,Lainage,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,688,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,nombre,12,nombre,1,0,5076,,0,0,0,1,1,0,7614,1,0,0
70,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bonnetterie bonets,bonneterie bonnets,924,77,Douzaines,douzaine,12,1789,Bayonne,Saint-Esprit de Bayonne,Navarre,120,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,Pas de prix uniaitaire,,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Navarre,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,5,bonnets,8,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,11,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bonneterie hors soie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,non,Objets manufacturés,Manufactures,Produits manufacturés,Pas réexportation,nombre,12,nombre,1,0,924,,0,0,0,1,1,0,924,1,0,0
72,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bois à bruler,bois à brûler,7656,,,unité manquante,,1789,Bayonne,Saint-Esprit de Bayonne,Bearn,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,,0,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Béarn,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,50,bois pour brûler,3,x,,0,Peut-être Canada,,0,not a medical product,509,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,non,Matières premières,Non-agricultural primary goods,Produits primaires,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,7656,0,0,
73,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bois de construction,bois de construction,800,800,Pieds,pieds,1,1789,Bayonne,Saint-Esprit de Bayonne,Bearn,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,,0,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Béarn,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,146,bois pour construction,6b,x,,0,Hors Canada,,0,not a medical product,409,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Matières premières,Agriculture,Produits primaires,Pas réexportation,pieds de roi,1,cm,32.484,0,25987.199,.030784385,0,0,0,1,1,0,800,0,0,0
74,National toutes directions partenaires manquants,1789,Bayonne,Bayonne,Bayonne,Exports,Bois de pin en planches,bois de pin en planches,1135.74996755,3245,Nombre,nombre,.34999999,1789,Bayonne,Saint-Esprit de Bayonne,Bearn,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Bayonne_Exports_1789.csv,AN F12 1666,5,,,,,Laura Moutou,,,-.75,,,,,,,,Bayonne,Guyenne,Béarn,Saint-Esprit de Bayonne,Béarn,Béarn,Bayonne,France,Bayonne,France,France,Not Outre-mers,9,planches de pin,6b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,22,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,nombre,1,nombre,1,0,3245,.34999999,0,0,0,1,1,1,1135,0,0,-.74996758
