produit,count_france_to_autres_portsfrancs
"Cuirs, peaux et pelleterie",101
Étoffes de laine,64
Matières premières diverses,57
Toiles de chanvre et de lin,57
"Ouvrages de bois, liège et jonc",54
Ouvrages divers et mélangés,52
Toiles diverses,50
Vins divers,48
Fruits secs et noix,40
Toiles de coton,40
Bois divers hors combustible,34
Étoffes diverses,32
Ouvrages métalliques,31
Eaux-de-vie et liqueurs,31
Chairs et œufs,30
"Porcelaine, poterie, faïence et ouvrages de terre",29
Blé et autres grains comestibles,29
Drogues diverses,28
Matières brutes et transformées pour teinture,28
Verrerie,28
Quincaillerie,28
Fils divers,27
Mercerie,27
Papier,26
Habits et lingerie,23
Divers mélangés,21
Fruits frais,20
Étoffes de soie,20
Fromage,20
Légumes,20
Subsistances diverses et mélangées,19
Pêche et fruits de mer,19
Bonneterie hors soie,19
Châles et mouchoirs hors soie,17
Parfumerie et toilette,17
Combustibles dont charbons et bois,16
"Mousseline, basin et nankin",16
Cire,15
"Meubles, glaces et miroirs",14
Animaux,14
Huile d'olive à manger,13
Dentelles,13
"Bière, cidre et vinaigre",12
Chapeaux hors paille et écorce,12
Graines diverses et mélangées,11
Huiles diverses,11
Produits inconnus,11
Cordage et filets,10
Savon,10
Librairie,10
Rubanerie et passementerie de soie,9
Graisses diverses,9
Beurre,9
"Farine, gruau, biscuits et pâtes",9
"Brai, goudron et résines",9
Fer,8
Gants,8
Miel,8
Drogues médicinales diverses,8
Sel,8
"Bougies, chandelles et flambeaux",8
Textiles manufacturés divers et mélangés,7
Plumes brutes,7
Soieries diverses,7
"Armes, munitions, poudre et pierres à fusil",7
Chanvre,6
Cendres diverses,6
Rubanerie et passementerie diverse,6
Sels chimiques,6
Laines non transformées diverses,6
Manne et médicaments,6
Marbre brut et ouvré,5
Fleurs artificielles et ouvrages de mode,5
Alcalis,5
Poils et crin,5
Objets d'art et d'histoire naturelle,5
Verdet,5
Dorure,5
"Gravelée, potasse et védasse",4
Safran,4
Soie,4
Divers incertains,4
Argenterie et orfèvrerie,4
Garance,4
Bonneterie de soie,4
Châles et mouchoirs de soie,4
Bouchons principalement en liège,4
Graines de jardin,3
Cacao et chocolat,3
Riz,3
Horlogerie,3
Cuivre,3
Cordonnerie et sellerie,3
Indigo,3
Coton non transformé,3
Bâtiments de mer et apparaux,2
"Cornes, corail, écailles, ivoire et nacre",2
Térébenthine,2
Gommes diverses,2
"Graines de trèfle, de luzerne et de prairie",2
Sirop et mélasse,2
Colles diverses,2
Tabac,2
Bijouterie et pierres fines,2
Salpêtre et soufre,2
Plumes ouvrées,2
Graines grasses,2
Étain,2
Poivre et piment,1
Quinquina,1
Sucre,1
Cannelle,1
"Filoselle, fleuret et bourre de soie",1
Café,1
Monnaies et métaux précieux,1
Denrées coloniales et épiceries diverses,1
Acier,1
Bois des Indes,1
Chevaux et bêtes de somme,1
Chapeaux d'écorce et de paille,1
Métaux divers et mélangés,1
Céruse et blanc de plomb,1
Séné,1
Cochenille,1
Huile d'olive pour fabrique,1
Huile de poisson,1
