line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office_source,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,customs_office,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty
30,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Verrerie,verrerie,144,,,unité manquante,0,1789,Amiens,Saint-Valery-sur-Somme,Normandie,,0,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,3,,,,,Jérémy Hervelin,,Largeur en lignes (pour tissu) :,144,,,,,,,,Amiens,Picardie,Picardie,Saint-Valery-sur-Somme,Normandie,Normandie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,438,verrerie,6k,x,Glaces et Verrerie,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,494,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Verrerie,No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,144,0,0,
34,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Beurre,beurre,157.5,1.75,quintal,quintal,90,1789,Amiens,Boulogne sur Mer,Boulonais,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,5,,,,,Jérémy Hervelin,,unité d'origine : livre,2.5,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Boulonais,Picardie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,1746,beurre,0a,x,,0,Hors Canada,,0,not a medical product,1868,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,livres,50,kg,.4895,0,42.831249,3.6772215,0,0,0,1,1,1,155,0,0,-2.5
42,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Cidre,cidre,120,5,muid,muids,24,1789,Amiens,Boulogne sur Mer,Normandie,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,5,,,,,Jérémy Hervelin,,,,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Normandie,Normandie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,343,cidre,1,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,251,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Bière, cidre et vinaigre",No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,pintes,280,litres,.9521000000000001,1,1332.9399,,0,0,0,1,1,0,120,1,0,0
54,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Eau ; de vie ; simple,eau-de-vie simple,6145,1229,velte,veltes,5,1789,Amiens,Boulogne sur Mer,Amiens,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,5,,,,,Jérémy Hervelin,,unités d'origine : muids et pintes,0,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Amiens,Picardie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,70,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,pintes,8,litres,.9521000000000001,1,9361.0469,.65644366,0,0,0,1,1,0,6145,0,0,0
67,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Houblon,houblon,740.00001,7.4000001,quintal,quintal,100,1789,Amiens,Boulogne sur Mer,Boulonais,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,6,,,,,Jérémy Hervelin,,unité d'origine : livre,0,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Boulonais,Picardie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,296,houblon,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,286,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Matières premières,Non-agricultural primary goods,Produits primaires,Peut-être réexportation,livres,50,kg,.4895,0,181.11501,4.0858016,0,0,0,1,1,1,740,0,0,-9.9999997e-06
70,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Liqueur,liqueurs,235,.59722221,muid,muids,393.4883801458087,1789,Amiens,Boulogne sur Mer,Boulonais,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,6,,,,,Jérémy Hervelin,,,,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Boulonais,Picardie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,177,liqueurs,1,x,,0,Hors Canada,,0,not a medical product,1621,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,pintes,280,litres,.9521000000000001,1,159.21228,,0,0,0,1,1,0,235,1,0,0
73,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Liqueur ; sirop ; melasse,liqueurs sirop mélasse,780,52,quintal,quintal,15,1789,Amiens,Boulogne sur Mer,Boulonais,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,6,,,,,Jérémy Hervelin,,unité d'origine : livre,0,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Boulonais,Picardie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,1,mélasse,0b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,12,,Pas grain (0),not raw cotton,sugar,Not coffee,Sans lien avec la porcelaine,out,Sirop et mélasse,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,50,kg,.4895,0,1272.7,.61287028,0,0,0,1,1,0,780,0,0,0
77,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Marchandises ; à la valeur,marchandises à la valeur,270,,,unité manquante,,1789,Amiens,Boulogne sur Mer,,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,6,,,,,Jérémy Hervelin,,,,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,,,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,173,marchandises à l'estimation,9b,x,,0,Peut-être Canada,,0,not a medical product,510,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,270,0,0,
81,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Mercerie,mercerie,240,1.2,quintal,quintal,200,1789,Amiens,Boulogne sur Mer,Isle de France,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,6,,,,,Jérémy Hervelin,,unité d'origine : livre,0,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Île de France,Île-de-France,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,2784,mercerie,9b,x,,0,Hors Canada,,0,not a medical product,3107,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Mercerie,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,livres,50,kg,.4895,0,29.370001,8.1716032,0,0,0,1,1,0,240,0,0,0
89,National toutes directions partenaires manquants,1789,Amiens,Dunkerque,Dunkerque,Exports,Pierres ; à chaux,pierres à chaux,320,,,unité manquante,,1789,Amiens,Boulogne sur Mer,Boulonais,,,sources/National toutes directions partenaires manquants/AN_F12_1666_Amiens_Exports_1789.csv,AN F12 1666,6,,,,,Jérémy Hervelin,,,,,,,,,,,Amiens,Picardie,Picardie,Boulogne-sur-Mer,Boulonais,Picardie,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,4,pierres à chaux,2,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,10,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Non-agricultural primary goods,Produits primaires,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,320,0,0,
