line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office_source,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,customs_office,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty
5048,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Cacao,cacao,63662,106103,Livres,livres,.6000018849608399,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,63662,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,2155,cacao,0b,x,,0,Hors Canada,,0,not a medical product,1752,Cacao,Pas grain (0),not raw cotton,cocoa,Not coffee,Sans lien avec la porcelaine,out,Cacao et chocolat,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.4895,0,51937.418,,0,0,0,0,1,0,63662,1,0,0
5049,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Caffé,café,263897,226382,Livres,livres,1.165715472078169,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,263897,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,1009,café,0b,x,,0,Hors Canada,,0,not a medical product,1355,Café,Pas grain (0),not raw cotton,coffee,coffee,Sans lien avec la porcelaine,out,Café,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.4895,0,110813.99,,0,0,0,0,1,0,263897,1,0,0
5050,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Canefice,canefice,6697,7441,Livres,livres,.9000134390538906,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,6697,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,503,canefice,2,x,,0,Hors Canada,Indes,0,narrow medical product,482,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Drogues médicinales diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Drogues médicinales,Manufactures,Produits manufacturés,Peut-être réexportation,livres,1,kg,.4895,0,3642.3694,,0,0,0,0,1,0,6697,1,0,0
5051,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Coton ; en laine,coton en laine,168,75,Livres,livres,2.24,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,168,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,589,coton,2,x,Coton de toute espèce,0,Hors Canada,,0,not a medical product,587,Coton,Pas grain (0),raw cotton,raw cotton,Not coffee,Sans lien avec la porcelaine,out,Coton non transformé,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Non-agricultural primary goods,Produits primaires,Réexportation,livres,1,kg,.4895,0,36.712502,,0,0,0,0,1,0,168,1,0,-2.8421709e-14
5052,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Indigo,indigo,3344,418,Livres,livres,8,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,3344,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,3234,indigo,5,x,,0,Hors Canada,,0,not a medical product,2648,Indigo,Pas grain (0),not raw cotton,indigo,Not coffee,Sans lien avec la porcelaine,out,Indigo,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,non,Matières premières,Non-agricultural primary goods,Produits primaires,Réexportation,livres,1,kg,.4895,0,204.61099,,0,0,0,0,1,0,3344,1,0,0
5053,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Sucre ; brut,sucre brut,106452,304149,Livres,livres,.3499995068206702,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,106452,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,543,sucre brut,0b,x,,0,Hors Canada,antilles,0,not a medical product,1167,Sucre ; cru blanc ; du Brésil,Pas grain (0),not raw cotton,sugar,Not coffee,Sans lien avec la porcelaine,out,Sucre,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.4895,0,148880.94,,0,0,0,0,1,0,106452,1,0,-1.4551915e-11
5054,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Sucre ; terré,sucre terré,185279,308799,Livres,livres,.5999987046590177,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,185279,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,473,sucre terré,0b,x,,0,Hors Canada,,0,not a medical product,947,Sucre ; cru blanc ; du Brésil,Pas grain (0),not raw cotton,sugar,Not coffee,Sans lien avec la porcelaine,out,Sucre,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.4895,0,151157.11,,0,0,0,0,1,0,185279,1,0,0
5055,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Sucre ; tête,sucre têtes,684994,1431454,Livres,livres,.4785302217186162,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,684994,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,19,sucre têtes,0b,x,,0,Hors Canada,,0,not a medical product,288,Sucre ; cru blanc ; du Brésil,Pas grain (0),not raw cotton,sugar,Not coffee,Sans lien avec la porcelaine,out,Sucre,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.4895,0,700696.75,,0,0,0,0,1,0,684994,1,0,0
5056,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Bois ; d'acajou,bois d'acajou,460,,,unité manquante,,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,460,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,76,bois d'acajou,2,x,,0,Hors Canada,tropiques,0,not a medical product,197,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Agriculture,Produits primaires,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,0,1,0,460,0,0,
5057,National toutes directions partenaires manquants,1788,Bayonne,Colonie française de l'Amérique,Colonies françaises de l'Amérique,Imports,Bois ; de brésil,bois du Brésil,3366,13465,Livres,livres,.2499814333457111,1788,Bayonne,Bayonne,,,0,sources/National toutes directions partenaires manquants/AN_F12_1835_Colonies_Imports_1788.csv,AN F12 1835,103,3366,,,,David Cassagnes,,,,,,,,,,,Bayonne,Guyenne,Béarn,Bayonne,,,Colonies françaises d'Amérique,Amériques,Colonies françaises d'Amérique,Colonies,Colonies françaises,Other outre-mers,14,bois de Brésil,2,x,,0,Hors Canada,amérique du sud,0,not a medical product,500,Bois ; de Pernambouc,Pas grain (0),not raw cotton,brasilwood,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Non-agricultural primary goods,Produits primaires,Peut-être réexportation,livres,1,kg,.4895,0,6591.1177,,0,0,0,0,1,0,3366,1,0,0
