rowIndex,product,region,year,partner,import,value,source
1,Marchandises dont le plus fort article n'excede pas 10000 livres,Amiens,1787,Angleterre,false,60000,AN F12 835
2,Thé,Amiens,1787,Angleterre,false,113000,AN F12 835
3,Chevaux,Amiens,1787,Angleterre,false,21000,AN F12 835
4,Vins divers,Amiens,1787,Angleterre,false,138000,AN F12 835
5,Eau de vie de Genievre,Amiens,1787,Angleterre,false,1130000,AN F12 835
6,Eau de vie de vin,Amiens,1787,Angleterre,false,402000,AN F12 835
7,Marchandise à la valeur,Amiens,1787,Angleterre,false,18000,AN F12 835
8,Plumes d'Autruche appretés,Amiens,1787,Angleterre,false,42000,AN F12 835
9,Librairie,Amiens,1787,Angleterre,false,64000,AN F12 835
10,Toiles Batistes,Amiens,1787,Angleterre,false,104000,AN F12 835
11,Drap de laine,Amiens,1787,Angleterre,false,166000,AN F12 835
12,Etoffes de Soye,Amiens,1787,Angleterre,false,39000,AN F12 835
13,Dentelle de Soye,Amiens,1787,Angleterre,false,302000,AN F12 835
14,Dentelle de fil,Amiens,1787,Angleterre,false,143000,AN F12 835
