pointcall_outdate,different date if any,captain_name,different capt if any,ship_name,different ship_name if any,ship_homeport,different homeport if any,observations,geniève (pintes de Paris),eau-de-vie (pintes de Paris),Taffia (pintes de Paris),tabac en feuilles (livres poids),thé (livres poids),corinthes (livres poids),vin rouge (pintes),vin fin (pintes),vin (barriques),vin (pots),liqueurs (pintes),tabac en poudre (livre poids),tabac fabriqué (livres poids),tabac en côtes (livres poids),drogues (livres poids),rhubarbre (livres poids),amidon (livres poids),café (livres poids),sucre brut (livres poids),sucre rafiné (livres),sucre en pain (livres poids),mousseline (livres poids),mousseline (livres tounois),mousseline des Indes (livres tournois),mousselines et mouchoirs (livres tournois),mouchoirs de mousseline (livres poids),mouchoirs de mousselin (valeur en £-stg),mouchoirs de soie (livres poids),mouchoirs de soie (livres tournois),perses (livres poids),nankins (livres poids),nankins (pièces),mouchoirs de Bandannoes (livres poids),Bandanoes (livres poids),bandanoes (valeur livres tournois),Bandanoes (pièces),Dimity (?) (livres poids),crêpes (livres poids),Soie des Indes (livres poids),soie et mousseline (livres tournois),marchandises des Indes (livres tournois),soieries (livres tournois),Jalap (livres poids),Taffetas (livres poids),Cambray (en livres tournois),Cambray (en £ stg),cambray (livres poids),Gauzes (livres poids),mercerie fine (livres poids),sené (livres poids),nacres de perle (livres tournois),pots de vess (en bouteiilles) /  potjevleesch???,porcelaine (livres tournois),voiture,Chocolat (livres poids),cartes à jouer (en livres poids),poudre à poudrer (livres poids),ship_id,ship_tonnage,pointcall_name,homeport_uhgs_id,ship_flag_standardized_fr,source_doc_id,homeport_lat,homeport_long,homeport_standardized_fr,mois,outdate,homeport_geom4326,homeport_comte,homeport_substate_1789_fr,homeport_state_1789_fr,pointcall_uhgs_id,pointcall_toponyme_fr,pointcall_toponyme_en,pointcall_lat,pointcall_long,pointcall_substate_1789_fr,pointcall_state_1789_fr,pointcall_partner_balance_1789,pointcall_partner_balance_supp_1789,pointcall_geom4326,shipment_price
1787=01=03,1787=01=04,"Brookes, Thomas","Brooks, Thomas",Betzy,,Lee,,,800,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000715N,12,Lisbonne [mais: Angleterre],A0385891,britannique,109748,"50,8","-1,2",Lee on Solent,1,1787-01-03,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),17497
1787=02=21,,"Ramer, James",,Elisabeth,,Lee,,,1 580,200,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000931N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110017,"50,8","-1,2",Lee on Solent,2,1787-02-21,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),17827
1787=04=24,,"Brookes, Thomas",,Betzy,,Lee,,,1 000,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000715N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110481,"50,8","-1,2",Lee on Solent,4,1787-04-24,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),17390
1787=06=01,,"Bloye, John",,Lark,,Lee,,,2 960,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000111N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110690,"50,8","-1,2",Lee on Solent,6,1787-06-01,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),18571
1787=01=04,,"Rainer, James",,Elisabeth,,Lee,,,1 680,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000931N,12,Lisbonne [mais: Angleterre],A0385891,britannique,109749,"50,8","-1,2",Lee on Solent,1,1787-01-04,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),17957
1787=02=21,,"Jones, John",,Lark,,Lee,Burnham,,3 140,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000111N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110011,"50,8","-1,2",Lee on Solent,2,1787-02-21,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),18878
1787=06=27,,"Brooks, Thomas",,Betzy,,Lee,,,760,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000715N,12,Lisbonne [mais: Angleterre],A0385891,britannique,110833,"50,8","-1,2",Lee on Solent,6,1787-06-27,POINT (-1.2 50.8),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),17249
1787=12=28,,"Seaman, François",,Sprigtley,Actif,Walton [Walton on the Naze],Watson,,1 400,700,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000016N,12,Lisbonne [mais: Angleterre],A0387362,britannique,111943,"51,85","1,283,333",Walton,12,1787-12-28,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7205
1787=09=20,,"Barber, Samuel",,Sally,,Walton,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,111387,"51,85","1,283,333",Walton,9,1787-09-20,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7205
1787=06=21,1787=06=20,"Barber, Samuel",,Sally,,Waldon,Walton,,1 800,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000159N,12,Lisbonne [mais: Angleterre],A0387362,britannique,110807,"51,85","1,283,333",Walton,6,1787-06-21,POINT (1.283333 51.85),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),7169
