,ogc_fid,uhgs_id,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point
0,18,B2119892,-56,49,68,Terre Neuve,"Terre-Neuve, île de",Newfoundland,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,5889189.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6233891.48442332,6274861.394006577]}"
1,853,A0354076,-5.4333330000000002,36.150000000000006,1,Rade de Gibraltar,Baie de Gibraltar,Bay of Gibraltar,possessions anglaises en Méditerranée,Grande-Bretagne,British possessions in the Mediterranean,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""possessions anglaises en Méditerranée""}]",,,2411584.0,,,ACE-CADI,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-604835.862870288,4321280.818566128]}"
2,469,B2120324,-57.1,51.016667,2,Ferol côte de Terre Neuve,Férolle,Ferolle,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,3164433.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6356342.924295922,6624242.451767406]}"
3,595,A0385744,-1.15,60.15,2,Lauwig,Lerwick,Lerwick,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2644605.0,,Ecosse,ANE-FISL,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-128017.414412265,8433209.721803233]}"
4,400,C0000019,-23.96759,16.040534,1,Cap Vert,Cap-Vert,Cap-Vert,colonies portugaises d'Afrique,Portugal,Portuguese colonies in Africa,Portugal,"[{""1749-1815"" : ""Portugal""}]","[{""1749-1815"" : ""colonies portugaises d'Afrique""}]",,,3110110.0,,,ACE-CTIM,,,Portugal,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-2668059.914341955,1809417.307159994]}"
5,913,A0178037,-1.15,45.8,94,Seudre,Seudre,Seudre,,France,,France,"[{""1749-1815"" : ""France""}]",,,,3010552.0,Marennes,Saintonge,ACE-ROCH,La Rochelle,Marennes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-128017.414412265,5748356.801602935]}"
6,241,A0398458,0.533333,51.4,1,Drompton [Brompton],Brompton,Brompton,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654585.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[59370.357983248,6692356.435262544]}"
7,17,A0614744,-8.530556,51.7075,2,Kingsale,Kinsale,Kinsale,Irlande,Grande-Bretagne,Ireland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Irlande""}]",,,2963155.0,,Irlande,ANE-FAST,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-949617.150103503,6747409.516061144]}"
8,114,B2138259,-55.583333,49.966667,1,Havre de la Sie en Terreneuve,La Scie,La Scie,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,6050219.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6187508.326152959,6440505.152535017]}"
9,1053,A0379790,-2.978725,53.41164,69,Liverpool,Liverpool,Liverpool,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2644210.0,,Lancashire,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-331590.150213193,7059506.140400869]}"
10,979,A0388193,-4,56,7,Ecosse,Ecosse,Scotland,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2518878.0,,Ecosse,NOR- FORH,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-445277.963173095,7558415.656081782]}"
11,1047,B1969741,-60.983333,13.916667,1,Sainte Lucie,Sainte-Lucie,Saint Lucia,Colonies françaises d'Amérique,France,French colonies in America,France,"[{""1749-1814"" : ""France""},{""1815-1815"" : ""Grande-Bretagne""}]","[{""1749-1814"" : ""Colonies françaises d'Amérique""},{""1815-1815"" : ""Colonies britanniques d'Amérique""}]",,,3576466.0,,,GUL-LEEW,,,Iles françaises de l'Amérique,colonies françaises,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6788633.576436636,1564657.700730002]}"
12,918,B0000971, -55.461824,51.520649,2,Baye du Griguet en Terreneuve,Les Griquets,Griquet,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,3183343.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6173982.006146159,6713912.421442536]}"
13,1179,A0387364,0.666667,50.88333,0,,Pett,Pett,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Sussex,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[74213.030968681,6600682.040459043]}"
14,567,A0195014,-2.333333,46.716667,79,Ile d' Yeu,île d'Yeu,île d'Yeu,,France,,France,"[{""1749-1815"" : ""France""}]",,,,2967241.0,Sables-d’Olonne,Poitou,ACE-YEUX,La Rochelle,Sables d'Olonne,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-259745.441411142,5895948.919810573]}"
15,1221,A0128436,-2.883333,47.333333,0,Hadic [Hoedic],Hoedic,Hoedic,,France,,France,"[{""1749-1815"" : ""France""}]",,,,,Vannes,Bretagne,ACE-IROI,Lorient,Vannes,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-320971.161347442,5996653.241846776]}"
16,494,A0180920,0.725362,49.524483,80,Caudebec,Caudebec,Caudebec,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3028215.0,Caudebec et Quilleboeuf,Normandie,MAN-WIGH,Rouen,Caudebec,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[80746.928480792,6364328.33178022]}"
17,475,A0385489,-1.083333,50.766667,33,Portsmouth,Portsmouth,Portsmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,6458606.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-120596.07791955,6580123.140469525]}"
18,901,B2123277,-55.866667,50,2,Havre de Paquet (Terre neuve),Pacquet,Pacquet,Colonies britanniques d'Amérique,Grande-Bretagne,British colonies in America,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Colonies britanniques d'Amérique""}]",,,6095980.0,,,ACA-NEWF,,,Angleterre,Etranger,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-6219048.922757382,6446275.841017158]}"
19,730,A0142523,-4.333333,48.1,26,Douarnenez,Douarnenez,Douarnenez,,France,,France,"[{""1749-1815"" : ""France""}]",,oblique,True,3020996.0,Quimper,Bretagne,ACE-IROI,Lorient,Quimper,,France,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""spatialreferencing.org:900913""}},""coordinates"":[-482384.42299769,6123507.424977484]}"
